Second,Frame,nosex,nosey,noselikelihood,noseFreeze,leftearx,lefteary,leftearlikelihood,leftearFreeze,rightearx,righteary,rightearlikelihood,rightearFreeze,tailbasex,tailbasey,tailbaselikelihood,tailbaseFreeze,stimx,stimy,stimlikelihood,stimFreeze,FullBodyFreeze
0,0,27.49761907,8.847001151,1,0,27.40590772,6.823523764,1,0,25.64064568,7.639746686,1,0,24.49311457,4.333865413,0.999994218,0,,,0.004451334,0,0
0.033333333,1,27.49375569,8.846305884,1,0,27.39938536,6.825283778,1,0,25.64541686,7.64042579,1,0,24.49151056,4.337793495,0.999994397,0,,,0.004008263,0,0
0.066666667,2,27.52306777,8.780606089,1,1,27.37322375,6.822654874,1,1,25.6448362,7.648662771,1,1,24.49434082,4.343025112,0.999993801,1,,,0.003759384,0,1
0.1,3,27.51879166,8.77185202,1,1,27.370281,6.829991126,1,1,25.62556434,7.64103179,1,1,24.44206244,4.325502344,0.999994516,1,,,0.00361979,0,1
0.133333333,4,27.50227052,8.788379054,1,1,27.38453195,6.846642469,1,1,25.61788835,7.636925505,1,1,24.43439122,4.325764279,0.999994159,1,,,0.003242642,0,1
0.166666667,5,27.50495739,8.789987035,1,1,27.38905778,6.857132695,1,1,25.61744502,7.64203755,1,1,24.39129199,4.322476525,0.999995351,1,,,0.002406836,0,1
0.2,6,27.43041297,8.822541403,1,1,27.37330405,6.858170383,1,1,25.61393438,7.658612809,1,1,24.3704785,4.323723565,0.999995232,1,,,0.00139612,0,1
0.233333333,7,27.46206947,8.784384361,1,1,27.36914728,6.864417188,1,1,25.60954977,7.659920191,1,1,24.36977668,4.323789154,0.999995351,1,,,0.001399666,0,1
0.266666667,8,27.48252539,8.810232021,1,1,27.37216405,6.863163478,1,1,25.62117368,7.656239103,1,1,24.37061957,4.327252153,0.999994874,1,,,0.001437336,0,1
0.3,9,27.43903959,8.838353248,1,1,27.37575872,6.852502275,1,1,25.6434273,7.637596916,1,1,24.35964178,4.33941257,0.999993563,1,,,0.001444757,0,1
0.333333333,10,27.49079143,8.796774273,1,1,27.37497528,6.852205856,1,1,25.642067,7.637355637,1,1,24.36744781,4.339905422,0.999993563,1,,,0.001446038,0,1
0.366666667,11,27.47857292,8.777270066,1,1,27.35611439,6.861989498,1,1,25.64354291,7.641203389,1,1,24.3696061,4.347948349,0.99999249,1,,,0.001395583,0,1
0.4,12,27.48060338,8.7806719,1,1,27.36415958,6.864615067,1,1,25.64136012,7.648030536,1,1,24.36789475,4.34544193,0.999992251,1,,,0.004618466,0,1
0.433333333,13,27.50328422,8.762604965,1,1,27.361361,6.860093903,1,1,25.64746892,7.650238246,1,1,24.36816284,4.348625874,0.999992967,1,,,0.169068903,0,1
0.466666667,14,27.48212267,8.773468183,1,1,27.35596821,6.869562538,1,1,25.64367733,7.631932499,1,1,24.37277874,4.351504173,0.999992371,1,,,0.000953168,0,1
0.5,15,27.48309506,8.772004876,1,1,27.3581531,6.870461666,1,1,25.64429258,7.627551941,1,1,24.39662386,4.356103644,0.999992013,1,,,0.000695854,0,1
0.533333333,16,27.52259911,8.783534413,1,1,27.3625117,6.872766938,1,1,25.65253242,7.656450811,1,1,24.39538526,4.349715433,0.999991953,1,,,0.000720471,0,1
0.566666667,17,27.51410448,8.778686726,1,1,27.36072454,6.863962955,1,1,25.65360407,7.63351998,1,1,24.39561877,4.34780532,0.999992371,1,,,0.000902504,0,1
0.6,18,27.4978384,8.761771315,1,1,27.37056123,6.838230464,1,1,25.64635684,7.622116174,1,1,24.37412508,4.344221503,0.999992371,1,,,0.000763178,0,1
0.633333333,19,27.49752066,8.763562912,1,1,27.37188265,6.835998341,1,1,25.64963298,7.623464066,1,1,24.37095419,4.337201035,0.999992609,1,,,0.007124305,0,1
0.666666667,20,27.52195909,8.746314263,1,1,27.3646737,6.857321503,1,1,25.69074389,7.63884738,1,1,24.36292653,4.353549845,0.999993205,1,,,0.027120799,0,1
0.7,21,27.51714664,8.756499877,1,1,27.36387331,6.853401981,1,1,25.68364811,7.638400662,1,1,24.36452233,4.350217402,0.999993086,1,,,0.003139168,0,1
0.733333333,22,27.51696811,8.755743912,1,1,27.36303705,6.853890009,1,1,25.68646732,7.635010923,1,1,24.36351091,4.352854243,0.999993384,1,,,0.001751035,0,1
0.766666667,23,27.51491743,8.75600628,1,1,27.36124585,6.853593057,1,1,25.6857064,7.635144681,1,1,24.36472488,4.352205555,0.999993384,1,,,0.001754373,0,1
0.8,24,27.46900354,8.79194962,1,1,27.37281961,6.848584665,1,1,25.68752759,7.636473896,1,1,24.35945883,4.351464108,0.999993801,1,,,0.001776576,0,1
0.833333333,25,27.52029146,8.767187005,1,1,27.38877565,6.839570396,1,1,25.68068726,7.616790553,1,1,24.36015834,4.347450782,0.999993801,1,,,0.006031305,0,1
0.866666667,26,27.45567346,8.78139834,1,1,27.36999236,6.838159806,1,1,25.67671963,7.61881119,1,1,24.35227976,4.353570255,0.999993443,1,,,0.001097709,0,1
0.9,27,27.53068935,8.743250135,1,1,27.34681544,6.826334673,1,1,25.6734489,7.640568219,1,1,24.33659622,4.34905336,0.99999404,1,,,0.001228601,0,1
0.933333333,28,27.59635701,8.791020009,1,1,27.36863899,6.837372469,1,1,25.70681794,7.629321338,1,1,24.35201718,4.314038974,0.999997735,1,,,0.001050711,0,1
0.966666667,29,27.63157272,8.777268732,1,1,27.38153981,6.854868333,1,1,25.71145194,7.638035497,1,1,24.43051781,4.30180681,0.999999642,1,,,0.001108855,0,1
1,30,27.65160874,8.767242322,1,1,27.42698408,6.834138187,1,1,25.69682961,7.626678426,1,1,24.47971789,4.354069889,0.999975801,1,,,0.000242501,0,1
1.033333333,31,27.65023456,8.772541129,1,1,27.43845678,6.812455285,1,1,25.7089637,7.622692559,1,1,24.50016556,4.348026767,0.999994397,1,,,0.000816077,0,1
1.066666667,32,27.64657553,8.756931388,1,1,27.42945719,6.801488548,1,1,25.71477009,7.620150811,1,1,24.50019491,4.348379036,0.99999404,1,,,0.001375228,0,1
1.1,33,27.5776915,8.736984699,1,1,27.40141286,6.763723707,1,1,25.67864557,7.596244546,1,1,24.5063283,4.335019894,0.999994397,1,,,0.101231903,0,1
1.133333333,34,27.58635566,8.797536842,1,1,27.41330703,6.777862916,1,1,25.6731811,7.601491327,1,1,24.51560297,4.338363876,0.999994695,1,,,0.571960211,0,1
1.166666667,35,27.61171778,8.747426778,1,1,27.40204548,6.775711413,1,1,25.69878688,7.617463432,1,1,24.5060382,4.339720061,0.999992669,1,,,0.953463376,0,1
1.2,36,27.60951492,8.747487565,1,1,27.40019983,6.776641134,1,1,25.69947686,7.61742479,1,1,24.50610123,4.326890079,0.999991417,1,,,0.751266599,0,1
1.233333333,37,27.62388696,8.724529776,1,1,27.3898706,6.775809018,1,1,25.70664062,7.626394681,1,1,24.52685392,4.329944623,0.999991059,1,,,0.537446618,0,1
1.266666667,38,27.60775286,8.719371263,1,1,27.38276966,6.77639065,1,1,25.69609781,7.630883383,1,1,24.52874849,4.332026202,0.999991179,1,,,0.519234478,0,1
1.3,39,27.59974542,8.743269679,1,1,27.38281971,6.798869604,1,1,25.70825008,7.628022716,1,1,24.52434894,4.347533047,0.999989212,1,,,0.03604269,0,1
1.333333333,40,27.59776843,8.703120726,1,1,27.38261531,6.791406175,1,1,25.70818289,7.636844753,1,1,24.52487063,4.270783694,0.999998569,1,,,0.049781114,0,1
1.366666667,41,27.5035787,8.749484011,1,1,27.39115883,6.79109615,1,1,25.69010669,7.626838775,1,1,24.51995883,4.266829844,0.99999845,1,,,0.767941713,0,1
1.4,42,27.55247901,8.708885461,1,1,27.398187,6.785186496,1,1,25.69557882,7.618782197,1,1,24.4761723,4.313012003,0.999997854,1,,,0.700582325,0,1
1.433333333,43,27.52787463,8.726823575,1,1,27.38123097,6.789131497,1,1,25.69185655,7.634326883,1,1,24.50830407,4.23122669,0.999999464,1,,,0.791265726,0,1
1.466666667,44,27.52472255,8.725941067,1,1,27.38524096,6.786761215,1,1,25.69160749,7.630907262,1,1,24.50541554,4.228532541,0.999999464,1,,,0.045561641,0,1
1.5,45,27.48341267,8.739203181,1,1,27.38718859,6.789089876,1,1,25.69431944,7.625904562,1,1,24.49660567,4.227241601,0.999999523,1,,,0.341287494,0,1
1.533333333,46,27.55914036,8.709793727,1,1,27.41002452,6.785274674,1,1,25.71045171,7.623905092,1,1,24.4887606,4.234768607,0.999999523,1,,,0.084982902,0,1
1.566666667,47,27.58047142,8.699709176,1,1,27.39328125,6.777851221,1,1,25.71043882,7.630910419,1,1,24.49680546,4.236808097,0.999999523,1,,,0.000838757,0,1
1.6,48,27.54209984,8.706485863,1,1,27.38821516,6.786395027,1,1,25.71476562,7.635026442,1,1,24.45632187,4.263696725,0.999999285,1,,,0.136613339,0,1
1.633333333,49,27.51584397,8.736706167,1,1,27.39856338,6.789361615,1,1,25.70701724,7.62785792,1,1,24.44111046,4.265058668,0.999999285,1,,,0.216450155,0,1
1.666666667,50,27.51714286,8.755089821,1,1,27.39873133,6.793559814,1,1,25.70034662,7.626241313,1,1,24.45101214,4.268832905,0.999999285,1,,,0.215304166,0,1
1.7,51,27.57217985,8.716141128,1,1,27.39997233,6.793627626,1,1,25.69687623,7.626828548,1,1,24.44101192,4.269848415,0.999999225,1,,,0.171870828,0,1
1.733333333,52,27.57062706,8.716951166,1,1,27.4041864,6.789749281,1,1,25.70226034,7.625557362,1,1,24.47682334,4.251800422,0.999999464,1,,,0.132642746,0,1
1.766666667,53,27.53006362,8.71945127,1,1,27.37886693,6.770494203,1,1,25.69490304,7.61907288,1,1,24.48604983,4.192173543,0.999999821,1,,,0.210832477,0,1
1.8,54,27.52996433,8.719317958,1,1,27.35469406,6.806156098,1,1,25.69490621,7.619138691,1,1,24.48596794,4.192195293,0.999999821,1,,,0.012463838,0,1
1.833333333,55,27.60267717,8.680643783,1,1,27.36756663,6.765519739,1,1,25.69477197,7.611207067,1,1,24.48559224,4.187772941,0.999999881,1,,,0.028909028,0,1
1.866666667,56,27.50148023,8.725916098,1,1,27.33762112,6.803373026,1,1,25.68534786,7.606640991,1,1,24.48522405,4.186335681,0.999999881,1,,,0.043429911,0,1
1.9,57,27.53889269,8.691628908,1,1,27.37435052,6.76990928,1,1,25.68713155,7.592165342,1,1,24.46972132,4.308101817,0.999994993,1,,,0.01894933,0,1
1.933333333,58,27.48751657,8.721614958,1,1,27.37445067,6.769970779,1,1,25.68894634,7.592042346,1,1,24.46731406,4.307640314,0.999994874,1,,,0.003703296,0,1
1.966666667,59,27.55808069,8.695806006,1,1,27.37494612,6.772382905,1,1,25.69072982,7.598399118,1,1,24.4897518,4.332550004,0.999991953,1,,,0.011083871,0,1
2,60,27.52949338,8.67211881,1,1,27.38067178,6.739363876,1,1,25.67699372,7.534643832,1,1,24.34445236,4.381242074,0.999978662,1,,,0.001478285,0,1
2.033333333,61,27.53415401,8.674254928,1,1,27.39052771,6.73297113,1,1,25.68680323,7.544658703,1,1,24.36406889,4.336031435,0.999993563,1,,,0.001754969,0,1
2.066666667,62,27.54308337,8.709621961,1,1,27.40181607,6.730089474,1,1,25.68967777,7.551083244,1,1,24.38105899,4.320483948,0.999995351,1,,,0.002822846,0,1
2.1,63,27.64394618,8.625835854,1,1,27.39031635,6.735281871,1,1,25.73865873,7.571820949,1,1,24.3976446,4.318066285,0.999996245,1,,,0.002832413,0,1
2.133333333,64,27.67016514,8.684599468,1,1,27.4113208,6.7458428,1,1,25.74631501,7.57973372,1,1,24.38130351,4.330543886,0.999996662,1,,,0.001707643,0,1
2.166666667,65,27.67180376,8.683343079,1,1,27.4127631,6.750297841,1,1,25.74428735,7.573709963,1,1,24.38504239,4.312901213,0.999997199,1,,,0.002395809,0,1
2.2,66,27.6488001,8.68108581,1,1,27.39776406,6.753161221,1,1,25.75620949,7.596113368,1,1,24.38078137,4.332433167,0.999995232,1,,,0.012372762,0,1
2.233333333,67,27.76386406,8.631015912,1,1,27.40785717,6.748011824,1,1,25.78079368,7.604143043,1,1,24.38421296,4.340965589,0.999992967,1,,,0.004131198,0,1
2.266666667,68,27.76972827,8.641640574,1,1,27.42469228,6.761665051,1,1,25.79841314,7.611110217,1,1,24.39683407,4.346038524,0.999991953,1,,,0.008365363,0,1
2.3,69,27.74982637,8.619941686,1,1,27.41621434,6.739436047,1,1,25.79918158,7.592025671,1,1,24.39654357,4.338455923,0.999992132,1,,,0.325456262,0,1
2.333333333,70,27.65552292,8.664360785,1,1,27.40996323,6.746254523,1,1,25.78701369,7.605335832,1,1,24.38861344,4.342709839,0.999992013,1,,,0.782749295,0,1
2.366666667,71,27.71081622,8.63540105,1,1,27.39875615,6.750007648,1,1,25.77638864,7.60127864,1,1,24.38959994,4.337970785,0.999992609,1,,,0.586984515,0,1
2.4,72,27.71085887,8.635423606,1,1,27.39874673,6.750016141,1,1,25.77633427,7.60128651,1,1,24.39112156,4.337930387,0.999992728,1,,,0.21409893,0,1
2.433333333,73,27.69491504,8.657094841,1,1,27.40314008,6.752118687,1,1,25.77052545,7.586608047,1,1,24.39277729,4.343067445,0.999992967,1,,,0.278221488,0,1
2.466666667,74,27.67325633,8.680418857,1,1,27.40449892,6.764852286,1,1,25.75308691,7.587134005,1,1,24.39803132,4.343420693,0.999992847,1,,,0.352047086,0,1
2.5,75,27.6900212,8.678860646,1,1,27.41115202,6.760680679,1,1,25.76187256,7.583307553,1,1,24.39140069,4.34260941,0.999988616,1,,,0.341947496,0,1
2.533333333,76,27.66767364,8.655667125,1,1,27.40121219,6.746338832,1,1,25.77315609,7.571503631,1,1,24.39475393,4.350023191,0.99998951,1,,,0.581386864,0,1
2.566666667,77,27.64932481,8.654776268,1,1,27.40418921,6.74594881,1,1,25.76651564,7.574406231,1,1,24.41075611,4.289093154,0.99999845,1,,,0.99591279,0,1
2.6,78,27.64668692,8.656760214,1,1,27.40362952,6.747398309,1,1,25.76201326,7.580832195,1,1,24.43439931,4.265106693,0.999998748,1,50.44459251,33.64380072,0.999996662,0,1
2.633333333,79,27.66248018,8.655961676,1,1,27.40027792,6.748540451,1,1,25.76665318,7.592027672,1,1,24.42649949,4.264512299,0.999998689,1,50.3434311,33.64924333,0.999999583,0,1
2.666666667,80,27.69055814,8.65654995,1,1,27.41223958,6.749434109,1,1,25.76036122,7.587021414,1,1,24.43165058,4.261331556,0.999998808,1,50.24226969,33.65468594,0.999999702,0,1
2.7,81,27.72811932,8.715167484,1,1,27.43915278,6.771683479,1,1,25.76917582,7.597765993,1,1,24.44882471,4.265806385,0.999998808,1,50.20114594,33.69699623,0.999999583,1,1
2.733333333,82,27.74328266,8.702361447,1,1,27.43280228,6.783756251,1,1,25.7733218,7.611392584,1,1,24.44197046,4.271971181,0.999998689,1,50.16002219,33.73930652,0.999999762,1,1
2.766666667,83,27.74059168,8.677470567,1,1,27.42562089,6.783602172,1,1,25.78102789,7.614366332,1,1,24.42431033,4.271817069,0.999998748,1,50.11889844,33.78161681,0.999999821,1,1
2.8,84,27.7304543,8.690844083,1,1,27.41106404,6.791344766,1,1,25.75993704,7.607371677,1,1,24.41729845,4.271235715,0.999998689,1,50.1731422,33.7774841,0.999998808,1,1
2.833333333,85,27.72660912,8.693887,1,1,27.418443,6.75877499,1,1,25.77118685,7.584143182,1,1,24.43715837,4.29435143,0.999998331,1,50.22738597,33.77335139,0.999995589,1,1
2.866666667,86,27.70852482,8.686472996,1,1,27.41751971,6.746532487,1,1,25.74573728,7.567270971,1,1,24.37443281,4.343301609,0.999996066,1,50.22883044,33.77252961,0.999996066,1,1
